timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_11_density,genotype_10_density,genotype_12_density,genotype_13_density,genotype_14_density
47,905,30,0.0,0.0066298342541436465,0.0066298342541436465,0.9285714285714286,61.18283010709463,14,0.9734806629834254,0.0022099447513812156,0.004419889502762431,0.0033149171270718232,0.0033149171270718232,0.0033149171270718232,0.0011049723756906078,0.0011049723756906078,0.0011049723756906078,0.0022099447513812156,,,,,
48,918,30,0.0,0.006535947712418301,0.006535947712418301,0.9285714285714286,60.72241838689193,14,0.9738562091503268,0.002178649237472767,0.004357298474945534,0.0032679738562091504,0.0032679738562091504,0.0032679738562091504,0.0010893246187363835,0.0010893246187363835,0.0010893246187363835,0.002178649237472767,,,,,
49,935,30,0.0,0.006417112299465241,0.0074866310160427805,0.9333333333333333,60.26527128453772,15,0.9711229946524064,0.0021390374331550803,0.0042780748663101605,0.0032085561497326204,0.0032085561497326204,0.0042780748663101605,0.0010695187165775401,0.0010695187165775401,,0.0021390374331550803,0.0021390374331550803,,,,
50,949,30,0.0,0.006322444678609062,0.008429926238145416,0.9333333333333333,59.80774959769722,15,0.9704952581664911,0.002107481559536354,0.004214963119072708,0.003161222339304531,0.004214963119072708,0.004214963119072708,0.001053740779768177,0.001053740779768177,,0.002107481559536354,0.002107481559536354,,,,
51,961,30,0.0,0.006243496357960458,0.008324661810613945,0.9333333333333333,59.34468285986798,15,0.9708636836628513,0.002081165452653486,0.004162330905306972,0.003121748178980229,0.004162330905306972,0.004162330905306972,0.001040582726326743,0.001040582726326743,,0.002081165452653486,0.002081165452653486,,,,
52,969,30,0.0,0.006191950464396285,0.008255933952528379,0.9333333333333333,58.886542935152804,15,0.9711042311661506,0.0020639834881320948,0.0041279669762641896,0.0030959752321981426,0.0041279669762641896,0.0041279669762641896,0.0010319917440660474,0.0010319917440660474,,0.0020639834881320948,0.0020639834881320948,,,,
53,975,30,0.0,0.006153846153846154,0.008205128205128205,0.9333333333333333,58.43378463314246,15,0.9712820512820513,0.0020512820512820513,0.0041025641025641026,0.003076923076923077,0.0041025641025641026,0.0041025641025641026,0.0010256410256410256,0.0010256410256410256,,0.0020512820512820513,0.0020512820512820513,,,,
54,987,30,0.0,0.0060790273556231,0.00911854103343465,0.9333333333333333,57.996346340860676,15,0.9706180344478217,0.002026342451874367,0.004052684903748734,0.00303951367781155,0.004052684903748734,0.004052684903748734,0.002026342451874367,0.0010131712259371835,,0.002026342451874367,0.002026342451874367,,,,
55,996,30,0.0,0.006024096385542169,0.009036144578313253,0.9333333333333333,57.55520398909753,15,0.9708835341365462,0.002008032128514056,0.004016064257028112,0.0030120481927710845,0.004016064257028112,0.004016064257028112,0.002008032128514056,0.001004016064257028,,0.002008032128514056,0.002008032128514056,,,,
56,1005,30,0.0,0.005970149253731343,0.008955223880597015,0.9333333333333333,57.116250247540044,15,0.9711442786069652,0.001990049751243781,0.003980099502487562,0.0029850746268656717,0.003980099502487562,0.003980099502487562,0.001990049751243781,0.0009950248756218905,,0.001990049751243781,0.001990049751243781,,,,
57,1015,30,0.0,0.005911330049261084,0.008866995073891626,0.9333333333333333,56.688924198727904,15,0.9704433497536946,0.0019704433497536944,0.003940886699507389,0.002955665024630542,0.003940886699507389,0.0049261083743842365,0.0019704433497536944,0.0009852216748768472,,0.0019704433497536944,0.0019704433497536944,,,,
58,1032,30,0.0,0.005813953488372093,0.00872093023255814,0.9333333333333333,56.299225485209895,15,0.9699612403100775,0.001937984496124031,0.003875968992248062,0.0029069767441860465,0.003875968992248062,0.0048449612403100775,0.001937984496124031,0.0009689922480620155,,0.0029069767441860465,0.001937984496124031,,,,
