timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density
77,64,40,0.0,0.046875,1.0,0.875,11.58830747591037,5,0.9375,,,0.015625,0.015625,,0.015625,0.015625
78,64,40,0.0,0.046875,1.0,0.875,11.578898753356906,5,0.9375,,,0.015625,0.015625,,0.015625,0.015625
79,64,40,0.0,0.046875,1.0,0.875,11.559973450386966,5,0.9375,,,0.015625,0.015625,,0.015625,0.015625
80,64,40,0.0,0.046875,1.0,0.875,11.553097303968432,5,0.9375,,,0.015625,0.015625,,0.015625,0.015625
81,64,40,0.0,0.046875,1.0,0.875,11.51756466619425,5,0.9375,,,0.015625,0.015625,,0.015625,0.015625
82,64,40,0.0,0.046875,1.0,0.875,11.53720052977711,5,0.9375,,,0.015625,0.015625,,0.015625,0.015625
83,64,40,0.0,0.046875,1.0,0.875,11.525656435947003,5,0.9375,,,0.015625,0.015625,,0.015625,0.015625
84,64,40,0.0,0.046875,1.0,0.875,11.499824626542175,5,0.9375,,,0.015625,0.015625,,0.015625,0.015625
85,63,40,0.0,0.047619047619047616,1.0,0.875,11.660126082288526,5,0.9365079365079365,,,0.015873015873015872,0.015873015873015872,,0.015873015873015872,0.015873015873015872
86,62,40,0.0,0.04838709677419355,1.0,0.875,11.806655553952872,5,0.9354838709677419,,,0.016129032258064516,0.016129032258064516,,0.016129032258064516,0.016129032258064516
87,62,40,0.0,0.04838709677419355,1.0,0.875,11.811052455633735,5,0.9354838709677419,,,0.016129032258064516,0.016129032258064516,,0.016129032258064516,0.016129032258064516
88,62,40,0.0,0.04838709677419355,1.0,0.875,11.808023276783555,5,0.9354838709677419,,,0.016129032258064516,0.016129032258064516,,0.016129032258064516,0.016129032258064516
89,62,40,0.0,0.04838709677419355,1.0,0.875,11.807477275835172,5,0.9354838709677419,,,0.016129032258064516,0.016129032258064516,,0.016129032258064516,0.016129032258064516
90,62,40,0.0,0.04838709677419355,1.0,0.875,11.814338100914174,5,0.9354838709677419,,,0.016129032258064516,0.016129032258064516,,0.016129032258064516,0.016129032258064516
91,62,40,0.0,0.04838709677419355,1.0,0.875,11.813760525845133,5,0.9354838709677419,,,0.016129032258064516,0.016129032258064516,,0.016129032258064516,0.016129032258064516
92,62,40,0.0,0.04838709677419355,1.0,0.875,11.820589934674087,5,0.9354838709677419,,,0.016129032258064516,0.016129032258064516,,0.016129032258064516,0.016129032258064516
93,62,40,0.0,0.04838709677419355,1.0,0.875,11.854533548541918,5,0.9354838709677419,,,0.016129032258064516,0.016129032258064516,,0.016129032258064516,0.016129032258064516
94,61,40,0.0,0.04918032786885246,1.0,0.875,12.075894143471045,5,0.9344262295081968,,,0.01639344262295082,0.01639344262295082,,0.01639344262295082,0.01639344262295082
95,61,40,0.0,0.04918032786885246,1.0,0.875,12.116861841249946,5,0.9344262295081968,,,0.01639344262295082,0.01639344262295082,,0.01639344262295082,0.01639344262295082
96,61,40,0.0,0.04918032786885246,1.0,0.875,12.130031293504741,5,0.9344262295081968,,,0.01639344262295082,0.01639344262295082,,0.01639344262295082,0.01639344262295082
97,61,40,0.0,0.04918032786885246,1.0,0.875,12.138117915400962,5,0.9344262295081968,,,0.01639344262295082,0.01639344262295082,,0.01639344262295082,0.01639344262295082
98,61,40,0.0,0.04918032786885246,1.0,0.875,12.128604663347113,5,0.9344262295081968,,,0.01639344262295082,0.01639344262295082,,0.01639344262295082,0.01639344262295082
99,61,40,0.0,0.04918032786885246,1.0,0.875,12.094054062066983,5,0.9344262295081968,,,0.01639344262295082,0.01639344262295082,,0.01639344262295082,0.01639344262295082
100,61,40,0.0,0.04918032786885246,1.0,0.875,12.077235654633839,5,0.9344262295081968,,,0.01639344262295082,0.01639344262295082,,0.01639344262295082,0.01639344262295082
101,60,40,0.0,0.05,1.0,0.875,12.268409391358368,5,0.9333333333333333,,,0.016666666666666666,0.016666666666666666,,0.016666666666666666,0.016666666666666666
102,60,40,0.0,0.05,1.0,0.875,12.288938565015908,5,0.9333333333333333,,,0.016666666666666666,0.016666666666666666,,0.016666666666666666,0.016666666666666666
103,60,40,0.0,0.05,1.0,0.875,12.32211659151082,5,0.9333333333333333,,,0.016666666666666666,0.016666666666666666,,0.016666666666666666,0.016666666666666666
104,60,40,0.0,0.05,1.0,0.875,12.324525130979664,5,0.9333333333333333,,,0.016666666666666666,0.016666666666666666,,0.016666666666666666,0.016666666666666666
105,58,40,0.0,0.05172413793103448,1.0,0.875,12.761827649998569,5,0.9310344827586207,,,0.017241379310344827,0.017241379310344827,,0.017241379310344827,0.017241379310344827
106,58,40,0.0,0.05172413793103448,1.0,0.875,12.796964578524037,5,0.9310344827586207,,,0.017241379310344827,0.017241379310344827,,0.017241379310344827,0.017241379310344827
107,58,40,0.0,0.05172413793103448,1.0,0.875,12.858308233522042,5,0.9310344827586207,,,0.017241379310344827,0.017241379310344827,,0.017241379310344827,0.017241379310344827
108,58,40,0.0,0.05172413793103448,1.0,0.875,12.87449507134928,5,0.9310344827586207,,,0.017241379310344827,0.017241379310344827,,0.017241379310344827,0.017241379310344827
109,58,40,0.0,0.05172413793103448,1.0,0.875,12.85366559942615,5,0.9310344827586207,,,0.017241379310344827,0.017241379310344827,,0.017241379310344827,0.017241379310344827
110,58,40,0.0,0.05172413793103448,1.0,0.875,12.856684444866286,5,0.9310344827586207,,,0.017241379310344827,0.017241379310344827,,0.017241379310344827,0.017241379310344827
