timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_12_density,genotype_13_density,genotype_14_density,genotype_19_density,genotype_16_density,genotype_17_density,genotype_20_density,genotype_24_density,genotype_15_density,genotype_18_density,genotype_22_density,genotype_25_density,genotype_28_density
81,238,60,0.0,0.06302521008403361,0.9495798319327731,0.9642857142857143,14.217757818757907,16,0.9369747899159664,0.004201680672268907,,,,0.004201680672268907,0.004201680672268907,,0.004201680672268907,,,0.004201680672268907,,,,,,0.004201680672268907,,,0.004201680672268907,0.004201680672268907,0.004201680672268907,,
82,226,60,0.0,0.06637168141592921,0.9469026548672567,0.9642857142857143,14.171224869263366,15,0.9380530973451328,0.004424778761061947,,,,0.004424778761061947,0.004424778761061947,,0.004424778761061947,,,0.004424778761061947,,,,,,0.004424778761061947,,,0.004424778761061947,0.004424778761061947,0.004424778761061947,,
83,222,60,0.0,0.06756756756756757,0.9459459459459459,0.9642857142857143,13.759522073039772,15,0.9369369369369369,0.0045045045045045045,,,,0.0045045045045045045,0.0045045045045045045,,0.0045045045045045045,,,0.0045045045045045045,,,,,,0.0045045045045045045,,,0.0045045045045045045,0.0045045045045045045,0.0045045045045045045,,
84,220,60,0.0,0.06818181818181818,0.9454545454545454,0.9642857142857143,13.673398930286108,14,0.9409090909090909,0.004545454545454545,,,,0.004545454545454545,0.004545454545454545,,0.004545454545454545,,,,,,,,,0.004545454545454545,,,0.004545454545454545,0.004545454545454545,0.004545454545454545,0.004545454545454545,
85,219,60,0.0,0.0684931506849315,0.9497716894977168,0.9642857142857143,13.543622461758293,13,0.9452054794520548,0.0045662100456621,,,,0.0045662100456621,0.0045662100456621,,0.0045662100456621,,,,,,,,,0.0045662100456621,,,0.0045662100456621,0.0045662100456621,0.0045662100456621,0.0045662100456621,
86,217,60,0.0,0.06912442396313365,0.9493087557603687,0.9642857142857143,13.478548654753336,13,0.9447004608294931,0.004608294930875576,,,,0.004608294930875576,0.004608294930875576,,0.004608294930875576,,,,,,,,,0.004608294930875576,,,0.004608294930875576,0.004608294930875576,0.004608294930875576,0.004608294930875576,
87,215,60,0.0,0.06976744186046512,0.9488372093023256,0.9642857142857143,13.439573944694581,13,0.9441860465116279,0.004651162790697674,,,,0.004651162790697674,0.004651162790697674,,0.004651162790697674,,,,,,,,,0.004651162790697674,,,0.004651162790697674,0.004651162790697674,0.004651162790697674,0.004651162790697674,
88,213,60,0.0,0.07042253521126761,0.9483568075117371,0.9642857142857143,13.36819845568125,13,0.9436619718309859,0.004694835680751174,,,,0.004694835680751174,0.004694835680751174,,0.004694835680751174,,,,,,,,,0.004694835680751174,,,0.004694835680751174,0.004694835680751174,0.004694835680751174,0.004694835680751174,
89,210,60,0.0,0.07142857142857142,0.9523809523809523,0.9642857142857143,13.37441942231453,11,0.9523809523809523,0.004761904761904762,,,,0.004761904761904762,0.004761904761904762,,0.004761904761904762,,,,,,,,,0.004761904761904762,0.004761904761904762,,0.004761904761904762,,0.004761904761904762,0.004761904761904762,
90,209,60,0.0,0.07177033492822966,0.9521531100478469,0.9642857142857143,13.244204675140507,11,0.9521531100478469,0.004784688995215311,,,,0.004784688995215311,0.004784688995215311,,0.004784688995215311,,,,,,,,,0.004784688995215311,0.004784688995215311,,0.004784688995215311,,0.004784688995215311,0.004784688995215311,
