timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density
33,572,80,0.0,0.0,0.9912587412587412,0.8888888888888888,21.2090052763597,9,0.986013986013986,0.0017482517482517483,0.0017482517482517483,0.0017482517482517483,0.0017482517482517483,0.0017482517482517483,0.0017482517482517483,0.0017482517482517483,0.0017482517482517483
34,530,80,0.0,0.0,0.9905660377358491,0.8888888888888888,18.819107116769068,9,0.9849056603773585,0.0018867924528301887,0.0018867924528301887,0.0018867924528301887,0.0018867924528301887,0.0018867924528301887,0.0018867924528301887,0.0018867924528301887,0.0018867924528301887
35,470,80,0.0,0.0,0.9893617021276596,0.8888888888888888,17.407465608654977,9,0.9829787234042553,0.002127659574468085,0.002127659574468085,0.002127659574468085,0.002127659574468085,0.002127659574468085,0.002127659574468085,0.002127659574468085,0.002127659574468085
36,430,80,0.0,0.0,0.9906976744186047,0.8888888888888888,15.72560919454582,8,0.9837209302325581,0.002325581395348837,0.002325581395348837,0.002325581395348837,,0.002325581395348837,0.002325581395348837,0.002325581395348837,0.002325581395348837
37,382,80,0.0,0.0,0.9921465968586387,0.8888888888888888,14.62297637960728,6,0.9869109947643979,0.002617801047120419,,0.002617801047120419,,,0.002617801047120419,0.002617801047120419,0.002617801047120419
38,336,80,0.0,0.0,0.9910714285714286,0.8888888888888888,13.960108016851082,6,0.9851190476190477,0.002976190476190476,,0.002976190476190476,,,0.002976190476190476,0.002976190476190476,0.002976190476190476
39,285,80,0.0,0.0,0.9894736842105263,0.8888888888888888,14.182666103775253,6,0.9824561403508771,0.0035087719298245615,,0.0035087719298245615,,,0.0035087719298245615,0.0035087719298245615,0.0035087719298245615
40,254,80,0.0,0.0,0.9921259842519685,0.8888888888888888,14.063591926377725,4,0.9881889763779528,0.003937007874015748,,0.003937007874015748,,,,0.003937007874015748,
41,235,80,0.0,0.0,0.9914893617021276,0.8888888888888888,13.65323716182863,4,0.9872340425531915,0.00425531914893617,,0.00425531914893617,,,,0.00425531914893617,
42,213,80,0.0,0.0,0.9953051643192489,0.8888888888888888,13.612186144021303,2,0.9953051643192489,,,0.004694835680751174,,,,,
43,203,80,0.0,0.0,0.9950738916256158,0.8888888888888888,13.026457316943294,2,0.9950738916256158,,,0.0049261083743842365,,,,,
44,188,80,0.0,0.0,0.9946808510638298,0.8888888888888888,12.91638619888773,2,0.9946808510638298,,,0.005319148936170213,,,,,
45,173,80,0.0,0.0,0.9942196531791907,0.8888888888888888,13.026245285140716,2,0.9942196531791907,,,0.005780346820809248,,,,,
46,166,80,0.0,0.0,0.9939759036144579,0.8888888888888888,12.698597630658556,2,0.9939759036144579,,,0.006024096385542169,,,,,
47,158,80,0.0,0.0,0.9936708860759493,0.8888888888888888,12.50446218040941,2,0.9936708860759493,,,0.006329113924050633,,,,,
48,150,80,0.0,0.0,0.9933333333333333,0.8888888888888888,12.403968011504075,2,0.9933333333333333,,,0.006666666666666667,,,,,
49,141,80,0.0,0.0,0.9929078014184397,0.8888888888888888,12.510814170269713,2,0.9929078014184397,,,0.0070921985815602835,,,,,
50,135,80,0.0,0.0,0.9925925925925926,0.8888888888888888,12.467469972633452,2,0.9925925925925926,,,0.007407407407407408,,,,,
51,133,80,0.0,0.0,0.9924812030075187,0.8888888888888888,12.160741963536887,2,0.9924812030075187,,,0.007518796992481203,,,,,
52,127,80,0.0,0.0,0.9921259842519685,0.8888888888888888,12.281690990718696,2,0.9921259842519685,,,0.007874015748031496,,,,,
53,125,80,0.0,0.0,0.992,0.8888888888888888,12.083377033128457,2,0.992,,,0.008,,,,,
54,124,80,0.0,0.0,0.9919354838709677,0.8888888888888888,11.786591435750793,2,0.9919354838709677,,,0.008064516129032258,,,,,
55,122,80,0.0,0.0,0.9918032786885246,0.8888888888888888,11.664660352804567,2,0.9918032786885246,,,0.00819672131147541,,,,,
56,121,80,0.0,0.0,0.9917355371900827,0.8888888888888888,11.495717747069277,2,0.9917355371900827,,,0.008264462809917356,,,,,
57,121,80,0.0,0.0,0.9917355371900827,0.8888888888888888,11.172968839139857,2,0.9917355371900827,,,0.008264462809917356,,,,,
