timestep,total_population,resource_concentration,antibiotic_level,cooperation_index,competition_index,mutation_frequency,avg_fitness,genotype_diversity,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_13_density,genotype_14_density,genotype_16_density,genotype_15_density,genotype_12_density
58,1897,100,0.0,0.004217185028993147,0.0010542962572482868,0.9166666666666666,58.14837525536864,12,0.9857670005271482,,0.0021085925144965737,0.0015814443858724301,0.0021085925144965737,0.0010542962572482868,0.0010542962572482868,0.0015814443858724301,0.0010542962572482868,0.0010542962572482868,0.0010542962572482868,,,,,,
59,1918,100,0.0,0.004171011470281543,0.0010427528675703858,0.9166666666666666,57.801236599050725,12,0.9859228362877998,,0.0020855057351407717,0.0015641293013555788,0.0020855057351407717,0.0010427528675703858,0.0010427528675703858,0.0015641293013555788,0.0010427528675703858,0.0010427528675703858,0.0010427528675703858,,,,,,
60,1937,100,0.0,0.004130098089829634,0.0010325245224574084,0.9166666666666666,57.45333162579468,12,0.986060918946825,,0.002065049044914817,0.0015487867836861124,0.002065049044914817,0.0010325245224574084,0.0010325245224574084,0.0015487867836861124,0.0010325245224574084,0.0010325245224574084,0.0010325245224574084,,,,,,
61,1958,100,0.0,0.0040858018386108275,0.0010214504596527069,0.9166666666666666,57.11502427709983,12,0.9862104187946884,,0.0020429009193054137,0.0015321756894790602,0.0020429009193054137,0.0010214504596527069,0.0010214504596527069,0.0015321756894790602,0.0010214504596527069,0.0010214504596527069,0.0010214504596527069,,,,,,
62,1977,100,0.0,0.004046535154274153,0.0010116337885685382,0.9166666666666666,56.777929113214505,12,0.9863429438543247,,0.0020232675771370764,0.0015174506828528073,0.0020232675771370764,0.0010116337885685382,0.0010116337885685382,0.0015174506828528073,0.0010116337885685382,0.0010116337885685382,0.0010116337885685382,,,,,,
63,1994,100,0.0,0.004012036108324975,0.0010030090270812437,0.9166666666666666,56.443035073767305,12,0.9859578736208626,,0.0020060180541624875,0.0015045135406218655,0.0020060180541624875,0.0010030090270812437,0.0015045135406218655,0.0015045135406218655,0.0010030090270812437,0.0010030090270812437,0.0010030090270812437,,,,,,
64,2016,100,0.0,0.004464285714285714,0.000992063492063492,0.9166666666666666,56.118134331675925,12,0.9861111111111112,,0.001984126984126984,0.001488095238095238,0.001984126984126984,0.000992063492063492,0.001488095238095238,0.001488095238095238,0.000992063492063492,0.000992063492063492,0.000992063492063492,,,,,,
65,2029,100,0.0,0.004435682602267127,0.0009857072449482504,0.9166666666666666,55.78088153728994,12,0.9857072449482503,,0.001971414489896501,0.0014785608674223755,0.0024642681123706258,0.0009857072449482504,0.0014785608674223755,0.0014785608674223755,0.0009857072449482504,0.0009857072449482504,0.0009857072449482504,,,,,,
66,2042,100,0.0,0.004897159647404506,0.0009794319294809011,0.9166666666666666,55.44796820178784,12,0.9857982370225269,,0.0019588638589618022,0.0014691478942213516,0.002448579823702253,0.0009794319294809011,0.0014691478942213516,0.0014691478942213516,0.0009794319294809011,0.0009794319294809011,0.0009794319294809011,,,,,,
67,2074,100,0.0,0.0048216007714561235,0.0009643201542912247,0.9166666666666666,55.16272860138847,12,0.9860173577627772,,0.0019286403085824494,0.0014464802314368371,0.0024108003857280617,0.0009643201542912247,0.0014464802314368371,0.0014464802314368371,0.0009643201542912247,0.0009643201542912247,0.0009643201542912247,,,,,,
68,2090,100,0.0,0.004784688995215311,0.0009569377990430622,0.9166666666666666,54.84185384709034,12,0.9856459330143541,,0.0019138755980861245,0.0014354066985645933,0.0023923444976076554,0.0009569377990430622,0.0014354066985645933,0.0014354066985645933,0.0009569377990430622,0.0009569377990430622,,0.0014354066985645933,,,,,
69,2109,100,0.0,0.00474158368895211,0.000948316737790422,0.9166666666666666,54.531944620375924,12,0.9853010905642484,,0.001896633475580844,0.001896633475580844,0.002370791844476055,0.000948316737790422,0.001422475106685633,0.001422475106685633,0.000948316737790422,0.000948316737790422,,0.001422475106685633,,,,,
